Salesperson,CustomerEmail,Product,Units,SalePrice
Ali,alpha@mail.com,Laptop,1,1200
Bilal,bravo@mail.com,Mouse,3,25
Fatima,charlie@mail.com,Keyboard,2,75
Zainab,delta@mail.com,Monitor,1,300
Ali,echo@mail.com,Mouse,5,25
Bilal,alpha@mail.com,Keyboard,1,75
Fatima,bravo@mail.com,Laptop,2,1200
Zainab,charlie@mail.com,Mouse,10,25
Ali,delta@mail.com,Monitor,2,300
Bilal,echo@mail.com,Keyboard,3,75
Fatima,alpha@mail.com,Mouse,2,25
Zainab,bravo@mail.com,Laptop,1,1200
Ali,charlie@mail.com,Monitor,1,300
Bilal,delta@mail.com,Mouse,8,25
Fatima,echo@mail.com,Keyboard,2,75
Zainab,alpha@mail.com,Laptop,1,1200
Ali,bravo@mail.com,Keyboard,4,75
Bilal,charlie@mail.com,Monitor,2,300
Fatima,delta@mail.com,Mouse,6,25
Zainab,echo@mail.com,Laptop,1,1200
